,angle_bin_centers,angle_bin_max,angle_bin_min,len pair_is,std_angle,Sd1,Sd1_err,Sd2,Sd2_err,Cd,Cd_err,W,W_err,std W
0,15.009999999999998,20.009999999999998,10.01,40.0,0.4392200437934999,399411.775,20541.514926469637,395069.375,25730.71896555506,1060.5,125.94582168535803,6.699061497307769e-09,3.2819577314489136e-11,2.2332975866829097e-10
1,25.009999999999998,30.009999999999998,20.009999999999998,61.0,2.6112060987858174,402256.6393442623,18790.264487475208,394572.98360655736,22434.27206306751,803.655737704918,68.11559250633131,5.0686865303243634e-09,2.3030816419824892e-11,3.2083622959395266e-10
2,35.00999999999999,40.00999999999999,30.009999999999998,40.0,1.9796268047294494,412384.3,22134.568273630277,399908.925,20984.112666952944,775.45,85.3398939535315,4.689538320803903e-09,2.6801882733833518e-11,2.0143297249414323e-10
3,45.00999999999999,50.00999999999999,40.00999999999999,65.0,2.3357029325461935,404364.5230769231,22801.88525478857,395207.5076923077,23776.866471505175,689.0461538461539,73.37919025261984,4.3053411606538306e-09,2.047316768099672e-11,1.8587689880525582e-10
4,55.00999999999999,60.00999999999999,50.00999999999999,72.0,3.4110168755509336,402356.2638888889,22887.671875677876,392145.7916666667,23938.628682376697,624.5694444444445,53.98169092615489,3.9616242897881554e-09,1.8770900386558425e-11,1.8359574541800694e-10
5,65.00999999999999,70.00999999999999,60.00999999999999,62.0,2.3229093007777495,403975.48387096776,24095.778120191142,392547.70967741933,18826.53233054702,595.9677419354839,41.80290456876192,3.762702678492735e-09,1.9647519704322873e-11,1.4617335196400469e-10
6,75.00999999999999,80.00999999999999,70.00999999999999,75.0,2.4734799427506764,394969.9066666667,22628.66867798359,391706.5466666667,22230.70371133482,562.96,44.595497530580374,3.643052180780297e-09,1.7793105826625855e-11,1.6871292593846676e-10
7,85.00999999999999,90.00999999999999,80.00999999999999,81.0,3.3145552900346678,394684.5308641975,18768.110753653204,397845.27160493826,22472.929050283372,578.0493827160494,36.719121144761225,3.6869768250981895e-09,1.7089047056735105e-11,1.4514636947642876e-10
8,95.00999999999999,100.00999999999999,90.00999999999999,50.0,2.180936986724528,394114.0,20217.70386072563,396582.72,22161.29335218502,594.44,43.30780991922819,3.80820185447413e-09,2.2153251027623572e-11,1.7501101928953369e-10
9,105.00999999999999,110.00999999999999,100.00999999999999,67.0,2.5954936182703565,393745.67164179106,20679.640762626543,393832.3582089552,26740.690647206487,629.5671641791045,43.467340246183944,4.0683178115622355e-09,1.988620461068497e-11,1.5243072427598715e-10
10,115.00999999999999,120.00999999999999,110.00999999999999,77.0,2.984159174385827,399289.4675324675,20568.31686323915,405395.5714285714,25480.54696064685,725.7532467532468,59.00828817949372,4.4888931351532515e-09,1.9078645499056423e-11,2.1551036630844576e-10
11,125.00999999999998,130.00999999999996,120.00999999999999,46.0,1.9478516305008529,393646.52173913043,23878.68240278357,399946.60869565216,24447.662992674836,788.2826086956521,73.18430071713179,5.00748766147479e-09,2.6434322672295502e-11,1.9143920488818507e-10
12,135.00999999999996,140.00999999999996,130.00999999999996,41.0,2.0722364224079906,400816.0243902439,25189.236088192953,402568.0731707317,22743.094779853025,908.3658536585366,83.05471487697527,5.629517667936502e-09,2.9371257234269046e-11,2.0642602290115633e-10
13,145.00999999999996,150.00999999999996,140.00999999999996,40.0,2.6428836083777085,409228.7,22929.890154773966,411112.575,23371.08415209647,1020.85,108.3221006997187,6.057704681460324e-09,3.0180023918659266e-11,2.6209215257921763e-10
14,155.00999999999996,160.00999999999996,150.00999999999996,21.0,2.7533970797613065,394272.4285714286,19180.995891448263,397285.3333333333,18606.369389036372,995.047619047619,70.65575579996579,6.3539108404573226e-09,4.414563055795132e-11,1.836056916401326e-10
15,165.00999999999996,170.00999999999996,160.00999999999996,16.0,0.5183647235984236,399822.625,25264.312426016564,406012.0625,23216.33688124795,1108.4375,112.11989606555119,6.820672426634111e-09,5.1630197340726264e-11,1.9162177463998562e-10
16,175.00999999999996,180.00999999999996,170.00999999999996,7.0,0.0,403163.85714285716,23741.99829974946,411546.0,18624.524415788062,1158.142857142857,117.24995104650647,6.966174065797765e-09,7.794168630027201e-11,1.8897929704706203e-10
