,ch,Sd,Sd_err
0,1,862920.0,928.9348739281995
1,2,893764.0,945.3909244328507
2,3,897365.0,947.2935131204056
3,4,932432.0,965.6251860841245
4,5,999390.0,999.6949534733083
5,6,1029637.0,1014.7103034856796
6,7,1019116.0,1009.5127537579701
7,8,986271.0,993.1117761863466
8,9,933777.0,966.3213751128555
9,10,868504.0,931.9356200940063
10,11,901282.0,949.358730933676
11,12,902231.0,949.8584105012704
12,13,927414.0,963.0233642025514
13,14,987754.0,993.8581387703176
14,15,1013700.0,1006.8266980965493
15,17,1021763.0,1010.8229320706965
16,18,996106.0,998.0511008961415
17,19,958771.0,979.1685248209319
18,20,832361.0,912.3382048341504
19,21,862920.0,928.9348739281995
20,22,836403.0,914.5507093649865
21,23,855310.0,924.829714055512
22,24,904433.0,951.0168242465535
23,25,942628.0,970.8903130632214
24,26,931180.0,964.9766836561389
25,27,932167.0,965.4879595313449
26,28,906860.0,952.2919720337876
27,29,873310.0,934.5105670884626
28,30,893373.0,945.1841090496603
29,31,908624.0,953.2177086059617
30,33,937435.0,968.2122701143587
31,34,1007247.0,1003.6169588045033
32,35,1023635.0,1011.7484865321024
33,36,1017769.0,1008.845379629604
34,37,995171.0,997.5825780355228
35,38,928903.0,963.7961402703374
36,39,863264.0,929.1200137764765
37,40,886363.0,941.4685337280264
38,41,887056.0,941.8365038582864
39,42,920654.0,959.5071651634499
40,43,977313.0,988.5914221760171
41,44,987325.0,993.6422897602537
42,45,1001215.0,1000.6073155838908
43,46,985345.0,992.6454553363956
44,47,938190.0,968.6020854819589
